id,place_name,category_name,category_group_code,category_group_name,phone,address_name,road_address_name,x,y,place_url,distance,wheelchair,animal,keyword,evalnum,rate
914382972,충정리시온 주차장,"교통,수송 > 교통시설 > 주차장",PK6,주차장,,서울 서대문구 충정로3가 465,서울 서대문구 서소문로 27,126.964760113721,37.5601823320965,http://place.map.kakao.com/914382972,,unknown,unknown,,0,0
547932741,센트럴타워 주차장,"교통,수송 > 교통시설 > 주차장",PK6,주차장,,서울 중구 중림동 500,,126.966585547808,37.5605576775177,http://place.map.kakao.com/547932741,,unknown,unknown,,0,0
997341360,하이파킹 센트럴타워 주차장,"교통,수송 > 교통시설 > 주차장",PK6,주차장,,서울 중구 중림동 500,서울 중구 서소문로 38,126.966217778491,37.5604044033997,http://place.map.kakao.com/997341360,,unknown,unknown,,0,0
21442303,GS타임즈 한국경제신문사빌딩 주차장,"교통,수송 > 교통시설 > 주차장",PK6,주차장,,서울 중구 중림동 441,서울 중구 청파로 463,126.9671108628243,37.56020553525079,http://place.map.kakao.com/21442303,,unknown,unknown,,0,0
1408635683,GS타임즈 한국경제신문 주차장,"교통,수송 > 교통시설 > 주차장",PK6,주차장,,서울 중구 중림동 441,서울 중구 청파로 463,126.967110870349,37.5601884163122,http://place.map.kakao.com/1408635683,,unknown,unknown,,0,0
26187127,포스코더샵 주차장,"교통,수송 > 교통시설 > 주차장",PK6,주차장,,서울 중구 순화동 151,서울 중구 칠패로 27,126.97205460263191,37.5601698680159,http://place.map.kakao.com/26187127,,unknown,unknown,,0,0
1740543688,삼성에스원 주차장,"교통,수송 > 교통시설 > 주차장",PK6,주차장,,서울 중구 순화동 175,서울 중구 세종대로7길 25,126.97277773875804,37.56040970213017,http://place.map.kakao.com/1740543688,,unknown,unknown,,0,0
1714806419,하이파킹 HSBC빌딩 주차장,"교통,수송 > 교통시설 > 주차장",PK6,주차장,,서울 중구 봉래동1가 25,서울 중구 칠패로 37,126.972868404977,37.5600745521585,http://place.map.kakao.com/1714806419,,unknown,unknown,,0,0
23368543,남대문로 화물조업주차장,"교통,수송 > 교통시설 > 주차장",PK6,주차장,,서울 중구 남대문로4가 10-1,,126.976589628197,37.5605438670218,http://place.map.kakao.com/23368543,,unknown,unknown,,0,0
26864755,메사빌딩 주차장,"교통,수송 > 교통시설 > 주차장",PK6,주차장,,서울 중구 회현동1가 204,서울 중구 남대문시장10길 2,126.97958103998953,37.56041107472858,http://place.map.kakao.com/26864755,,unknown,unknown,,0,0
26864756,삼익 주차장,"교통,수송 > 교통시설 > 주차장",PK6,주차장,,서울 중구 남창동 5,서울 중구 남대문시장8길 7,126.9789744480586,37.56020644197106,http://place.map.kakao.com/26864756,,unknown,unknown,,0,0
7969140,신세계백화점 본점 신관 주차장,"교통,수송 > 교통시설 > 주차장",PK6,주차장,,서울 중구 충무로1가 54,서울 중구 퇴계로 77,126.98077850714296,37.56035811693463,http://place.map.kakao.com/7969140,,unknown,unknown,,0,0
575943359,신세계면세점명동점 주차장,"교통,수송 > 교통시설 > 주차장",PK6,주차장,,서울 중구 회현동1가 205,서울 중구 퇴계로 77,126.980316731695,37.560349931882,http://place.map.kakao.com/575943359,,unknown,unknown,,0,0
902295233,스테이트타워남산 주차장,"교통,수송 > 교통시설 > 주차장",PK6,주차장,,서울 중구 회현동2가 88,서울 중구 퇴계로 100,126.982927844916,37.5602061788106,http://place.map.kakao.com/902295233,,unknown,unknown,,0,0
799984618,하이파킹 우리금융남산타워 주차장,"교통,수송 > 교통시설 > 주차장",PK6,주차장,,서울 중구 회현동2가 10-1,서울 중구 소공로 48,126.983027532092,37.5598169625063,http://place.map.kakao.com/799984618,,unknown,unknown,,0,0
1520146954,세대빌딩 주차장,"교통,수송 > 교통시설 > 주차장",PK6,주차장,,서울 중구 회현동3가 9-31,서울 중구 퇴계로14길 13,126.983736007718,37.5599594197445,http://place.map.kakao.com/1520146954,,unknown,unknown,,0,0
20513905,금강주차장,"교통,수송 > 교통시설 > 주차장",PK6,주차장,,서울 중구 남산동1가 5-2,서울 중구 퇴계로18길 10,126.984788495094,37.5603938405474,http://place.map.kakao.com/20513905,,unknown,unknown,,0,0
18099502,대한적십자사 서울사무소 주차장,"교통,수송 > 교통시설 > 주차장",PK6,주차장,,서울 중구 남산동3가 32-4,서울 중구 소파로 145,126.988079793849,37.5603942187159,http://place.map.kakao.com/18099502,,unknown,unknown,,0,0
1511388723,남산예장 버스환승 주차장,"교통,수송 > 교통시설 > 주차장",PK6,주차장,,서울 중구 예장동 3-2,서울 중구 퇴계로26길 36,126.989413148399,37.5597987868333,http://place.map.kakao.com/1511388723,,unknown,unknown,,1,5.0
1846713992,남산예장 공영주차장,"교통,수송 > 교통시설 > 주차장 > 공영주차장",PK6,주차장,02-2290-6449,서울 중구 예장동 4-1,서울 중구 퇴계로26길 36,126.988940043339,37.5598861401692,http://place.map.kakao.com/1846713992,,unknown,unknown,,0,0
769594192,모닝팜 주차장,"교통,수송 > 교통시설 > 주차장",PK6,주차장,,서울 중구 주자동 49-16,서울 중구 삼일대로2길 70,126.990188344848,37.5604556805574,http://place.map.kakao.com/769594192,,unknown,unknown,,0,0
141471639,SK리쳄블 주차장,"교통,수송 > 교통시설 > 주차장",PK6,주차장,,서울 서대문구 합동 116,서울 서대문구 서소문로 45,126.96620832117488,37.56129638750362,http://place.map.kakao.com/141471639,,unknown,unknown,,0,0
